Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
4102931,Dallas Quarry,"Crushed, Broken Limestone NEC",Abandoned,11/28/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102929,Petersburg Pit,"Crushed, Broken Limestone NEC",Abandoned,8/7/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102923,Mc Daniel Pit,"Crushed, Broken Limestone NEC",Abandoned,6/18/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102915,Decker Lease,"Crushed, Broken Limestone NEC",Abandoned,6/9/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102910,Bontke Quarry No 1,"Crushed, Broken Limestone NEC",Abandoned,3/6/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102908,Jones Pit,"Crushed, Broken Limestone NEC",Abandoned,5/28/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102907,Foley/Foley Pit,"Crushed, Broken Limestone NEC",Abandoned,1/30/1986,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102904,Frances Pit,"Crushed, Broken Limestone NEC",Abandoned,3/2/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102883,Woodruff Quarry,"Crushed, Broken Limestone NEC",Abandoned,3/27/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102882,Bomer Pit,"Crushed, Broken Limestone NEC",Abandoned,7/6/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102880,Mccowan Pit,"Crushed, Broken Limestone NEC",Abandoned,4/22/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102879,Anton Pit,"Crushed, Broken Limestone NEC",Abandoned,10/29/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102878,Hockley County Pits-J Clevenger Pit,"Crushed, Broken Limestone NEC",Abandoned,2/21/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102877,Price Pit,"Crushed, Broken Limestone NEC",Abandoned,10/11/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102873,Atkinson'S Pit,"Crushed, Broken Limestone NEC",Abandoned,1/16/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102872,S L Briley Pit,"Crushed, Broken Limestone NEC",Abandoned,12/21/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102871,Weaver Pits,"Crushed, Broken Limestone NEC",Abandoned,3/2/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102865,Stephens Pit,"Crushed, Broken Limestone NEC",Abandoned,7/9/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103080,Grimmett Brothers Inc Pit & Plant,"Crushed, Broken Limestone NEC",Abandoned,11/17/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103083,Chilton Pit,"Crushed, Broken Limestone NEC",Abandoned,10/1/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103084,Ellis County Quarry,"Crushed, Broken Limestone NEC",Abandoned,10/25/1982,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103288,Portable Plant & Pits,"Crushed, Broken Limestone NEC",Abandoned,8/3/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103304,Rattlesnake Pit #1,"Crushed, Broken Limestone NEC",Abandoned,4/10/1992,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103302,Ja 490 & Company Caliche Pit,"Crushed, Broken Limestone NEC",Abandoned,1/15/1992,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103300,Cresson Plant,"Crushed, Broken Limestone NEC",Abandoned,10/19/1993,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103295,Concord Quarry & Plant,"Crushed, Broken Limestone NEC",Abandoned,11/8/1988,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103293,Ward Pit & Plant,"Crushed, Broken Limestone NEC",Abandoned,10/10/1985,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103292,Portable Crusher #1,"Crushed, Broken Limestone NEC",Abandoned,9/16/1992,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103290,Stewart Pit,"Crushed, Broken Limestone NEC",Abandoned,6/7/1990,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103289,471 Pit,"Crushed, Broken Limestone NEC",Abandoned,4/21/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103282,Hilltop Quarry,"Crushed, Broken Limestone NEC",Abandoned,4/21/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103085,Marble Falls Quarry,"Crushed, Broken Limestone NEC",Abandoned,9/20/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103281,MEXIA PLANT,"Crushed, Broken Limestone NEC",Abandoned,3/22/2004,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103280,Smith Pit,"Crushed, Broken Limestone NEC",Abandoned,8/8/1985,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103271,Riverside Pit & Plant,"Crushed, Broken Limestone NEC",Abandoned,6/5/1986,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103269,Northwestern Caliche Pit,"Crushed, Broken Limestone NEC",Abandoned,9/8/1989,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103259,Beck'S Quarry,"Crushed, Broken Limestone NEC",Abandoned,4/22/1985,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103258,Barstow Pit,"Crushed, Broken Limestone NEC",Abandoned,11/8/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103257,G M Materials,"Crushed, Broken Limestone NEC",Abandoned,4/21/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103256,Fuhrmann Pit,"Crushed, Broken Limestone NEC",Abandoned,8/28/1989,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103254,Kosse 5a Crushed Stone,"Crushed, Broken Limestone NEC",Abandoned,7/15/1988,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103305,Valley View Crushed Stone,"Crushed, Broken Limestone NEC",Abandoned,2/2/1988,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103306,Rockett Plant,"Crushed, Broken Limestone NEC",Abandoned,2/20/1991,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103314,Davis Pit,"Crushed, Broken Limestone NEC",Abandoned,4/8/1991,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103326,No 16 Bryan,"Crushed, Broken Limestone NEC",Abandoned,9/10/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
